comedian,transcript
Iliza_Shlesinger,"And you start talking, maybe you have some drinks, maybe you dance, maybe you exchange numbers, maybe you start to date. Now, I happen to think the very beginning of a new relationship is the most exciting part of the relationship. Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships. I don’t know. I can’t say empirically how fun being married is. I’ll tell you on the next comedy special what that’s all about. But I don’t know. The beginning of a relationship is exciting because it’s brand new. You’re both on your best behavior, it’s still electric, you’re not totally sure about the history of mental illness in each family. It’s fun. And the most nerve-wracking part of a new relationship when you’re younger, is the first time a boy comes over to your apartment. ‘Cause it’s ostensibly like your girlfriend audition time. You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come closer. Like, that’s what you want. You try so hard in your 20s, right? Because you’re young, and it’s fun. That’s your 20s. In your 30s… In your 30s, homeboy knocks on the door, you open it, you’re in combat boots, nothing else, and a garbage can on fire, you’re, like, “Welcome to Fuckdome, Scott.” Ticket? Okay, so… But it’s interesting, in your 20s, it’s a weird mental game. Boy’s coming over for the first time, you’re trying to reconcile the beautiful home that your mother kept that you lived in growing up, with the beautiful home that, like, Pinterest says you’re supposed to have. And the fact that you have no fucking money, so… Should I buy a rug or eat dinner? I don’t know. It’s so hard.
"
Iliza_Shlesinger_2,"You don’t want to wear… what you wore during the day. Don’t want work clothes. You don’t want to wear your daytime clothes, ’cause… ’cause it’s nighttime. What if that was the end of my show? I hit my head. You don’t want to wear your civilian clothes, okay. ‘Cause you had a whole day. Maybe you sweat in them, they’re gross. However, at the other end of the sartorial spectrum, you don’t want to go, like, super hardcore sexy the first time a guy’s coming over. Just relax. You don’t want to wear nipple tassels. Now… some women are, like, “Wait a minute.” I am the woman that has stood here before and will stand here before you again and let you know you can wear whatever you want. It doesn’t give a man the right to put his hands on you. No always means no. That’s like a boiler-plated given. No means no. Kindergarteners get it. I don’t know why we forget that as adult males, but… no means no. This is less about that, and more about just being mentally kind to the other person. You show up in that, he’ll be, like, “Oh, my god!” The blood’s gonna go from here to his dick, he’s gonna impale himself, he’s gonna sue you, and you ain’t got no money. So… just be kind, because, mentally, it’s like, “Maybe she wants me. I don’t know. Oh, my god.” It’s frustrating. You know, girls, it’d be like if you have the worst day, you came home to your boyfriend, like… “I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard day.” Your boyfriend’s like, “Aw, babe. You want to talk about it?” You’re, like, “Yeah.” He’s, like, “Just kidding. Psych.” That’s what it would be like.
"
Jim_Gaffigan,"I don’t know what happened. All I did was eat abusively for 40 years. And suddenly I’m fat? That doesn’t seem fair. I am now at the size, when I go in clothing stores sales people look at me like, “We got nothing for you. And you can’t use our bathroom.” When I go out to eat, if I order a salad, the waiter’s always like, “Aw. Look at you try.” I’m always afraid he’s gonna gather the whole staff, “The fat pig is trying, the fat pig is trying, I…” I’ve always talked about my weight in my stand up but in the past after shows if I ran into audience members they’d be like, “Jim, you’re not that fat, you’re not that fat.” But now after shows people are like, “Good show.” “You nailed it.” I don’t care. I like to eat! I like to eat. You know, when you like to eat, what’s weird is people assume you enjoy cooking. (audience laughs) Well, you must know your way around the kitchen. I know where the food is. Well, you must love to cook. Look, I like to sleep. It doesn’t mean I wanna build a bed.The truth is, I don’t like to do anything. Like when I order delivery, I’m kind of annoyed they don’t know what I want already. What, do I have to do everything?"
Jim_Gaffigan_2,"Recently, I was invited to a surprise birthday party. It was a surprise birthday party for a dog. That’s right, I have friends that are mentally ill.I went, I went. It was in my apartment building and I needed the material.And to be fair, the dog was surprised. Didn’t suspect a thing. Dog didn’t know it was his birthday. The dog didn’t know it had a birthday. The dog wasn’t sure why people were in the apartment. It was the dog’s third birthday, which in dog years doesn’t matter.Someone made that up and we just went along with it. Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know? There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!” That’s not how dogs keep track of time. If you have a dog, you know they don’t keep track of time. You’ve left your home, forgotten something, walked back in only to be greeted by your dog like you’ve just returned from war. “You’re back! It’s a miracle! You’re back after I don’t know how long ’cause I’m a dog.”"
Joe_List,"So I went to the ear, nose, throat doctor, which is a cool doctor. It’s one doctor. He knows all three body parts. I was hoping it was three doctors saving money, by sharing a small office. He’s like, “I’m Bill, this is Susan, and Ted. “Ear, nose, throat. “Who do ya need?” And they all kinda. I went for my ear, I have an ear issue called, , tinnitus, or tin-uh-dus. That’s when you’re ears ring. You got it? Yeah, it’s frustrating. It’s when you’re ears ring, or buzz all the time. I don’t know how you say it. I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.” And so I was like, “Oh, I guess it’s pronounced tin-uh-dus.” But then I went to the comments section, and the first comment said, “This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.” All caps. And then I was like, “Shit, now I don’t know how to say this word.” This gentlemen is a doctor, he seems very smart. This fella seems, less smart, but, extremely adamant about the pronunciation of this word. Tomato, to-mah-to. However you say it. If you have it, don’t go to the doctor, they don’t do shit. I went to the doctor I was like “Doc, I have uh, tinnitus, or tin-uh-dus. “Whatever you guys are calling it. “My ears are ringing.” And then he said, “Okay, I’m gonna test your hearing.” And I was like, “Oh no, that’s okay. “My hearing is great. “I hear everything, plus ringing, so. “I kind of have superpower hearing, if you think about it. “I’m hearing shit that’s not even in the room."
Joe_List_2,"Back there. It doesn’t matter where are on the plane. You feel better than everybody behind you, don’t you? You can be in the second to last row. This one guy behind, you’re like what a fucking idiot back there. Embarrassing, loser. Last row. I was on a plane the other day. I hated the guy behind me. He kept yawning out loud, the whole flight. Am I a psycho or is that annoying? The whole flight he’s like. [yawns] For like five hours. [yawns] I wanted him to die, I swear to God. I was like, hope this guy passes away on the flight. First of all, you don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that. It’s like, if you were hungry on a plane, you were like, I’m hungry. Well you’re all right? Yeah, yeah I’m hungry. I like to let people know when I’m hungry. I think it’s important for people to know that. People who yawn out loud, they want attention. That’s why they’re doing it. They want you to be like, “Oh, my God, are you tired?” And they’re like, I am, here’s my entire life story. of how I came to be tired. Don’t fall for it, it’s a trap. Plus isn’t it fun to not ask somebody a question when they really want you to ask them a question? You ever do that when someone was like, “I had a wild night last night.” and then you’re like, “Neat.” And then you just walked away. That’s like one of my favorite things to do. Just tell me your shitty story. Don’t make me ask for it. I flew recently, I was at the airport, La Guardia airport, here in New York, that’s my home airport. I was walking through the terminal. They were playing “Welcome To The Jungle” by Guns N’ Roses at the airport. That’s a weird airport song. I’m a rock and roll guy. I love Guns N’ Roses, I’m cool. But it’s a little much at the airport. I’m walking to the terminal. I just hear like. Du du du du du du du, aah! I’m like hey, can we cool it down a little bit? It’s 7:30 AM. I’m eating a muffin, looking for an outlet. I don’t think we need to rock this hard. Also it’s a little unnerving to be boarding a flight. And hear, “You’re gonna die!”"
John_Mulaney,"I don’t mean to sound down on donating. [chuckles] It’s good to give to charities, you know. My wife and I just gave a bunch of stuff to Goodwill. We were moving apartments, we had a bunch of clothes and furniture, so we made a whole day out of it. We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months. And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now.” So then I had to speed to Goodwill really fast. It was charitable, but it was also fast and violent, because I was throwing boxes at people. The boxes were so heavy I couldn’t even say what was in them. I was like, “This one’s shirts. I got a bunch of shirts! Take ’em away!” The guy tried to give me a big receipt. He’s like, “Take this receipt for the clothing for your taxes.” How do I write that on my taxes? “Dear IRS, please deduct from my federal income tax one XXL Billabong T-shirt from youth. It was too big. My mom said it could be a sleep shirt. Please deduct this from my 2017 income.” That sleep shirt bullshit. “Well, if it’s too big you can just wear it as a sleep shirt.” No, I get that, Mom, but why don’t we just tell our relatives that I’m a four-year-old boy and I don’t wear a man’s XXL T-shirt? “Because we don’t say that when someone gives us a gift because that would not be polite.” Oh, I get it. So rather than violate these meaningless politeness rules, I’ll just go to bed in a smock like goddamn Ebenezer Scrooge. Why don’t you give me a candle for looking in the mirror and a floppy hat and I’ll tremble off to bed in my long Victorian nightgown? Was there ever even a ghost, Mother, or was the dead Victorian girl you saw just me all along?"
John_Mulaney_2,"The greatest assembly of them all, once a year, Stranger Danger. Yeah, the hottest ticket in town. The Bruno Mars of assemblies. You are gathered together as a school and you are told never to talk to an adult that you don’t know and you are told this by an adult that you don’t know. We had the same Stranger Danger speaker every year when I was a kid, his name was Detective JJ Bittenbinder. Go ahead and laugh. His name is ridiculous. That was his name. It was JJ Bittenbinder. He was from the Chicago Police Department. He was a child homicide expert and… -[audience is silent] -Oh, gee. [audience laughing] Very sorry, Radio City, did that make you uncomfortable? Well, guess what? You’re adults and he’s not even here. So try being seven years old and you’re sitting five feet away from him. He’s still got blood on his shoes. And he’s looking at you in the eye to tell you for the first time in your very young life that some adults find you incredibly attractive. [audience laughing] And they may just have to kill you over it. Okay, c’est la vie, go be kids, go have fun. Bittenbinder came every year. By the way, Detective JJ Bittenbinder wore three-piece suits. He also wore a pocket watch. Two years in a row, he wore a cowboy hat. He also had a huge handlebar mustache. None of that matters, but it’s important to me that you know that. He did not look like his job description. He looked like he should be the conductor on a locomotive powered by confetti. But, instead, he made his living in murder. He was the weirdest goddamn person I ever saw in my entire life. He was a man most acquainted with misery. He could look at a child and guess the price of their coffin.
"
Jimmy_Yang," Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping.I’ve been dating a lot of tall girls lately, because it makes me look successful. No, no. I think tall women are beautiful. But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels? She’s like, it makes my ass look better. I’m like, your ass is at my eye level right now. Neither of us look good, OK? I look like a child, and you look like a child molester.Last time– the last time I took a tall girl to this concert– I don’t know if you guys know this, but apparently, tall people have fun at concerts. Are you guys aware of that? I’m 5′ 5″. I just go to concerts to smell other people’s armpits. I’m like what the fuck’s the point of this? She was having the time of her life, doing whatever tall people do at concerts, you know, jumping around, obstructing other people’s views, seeing everything. I was frustrated. I had enough. So I just looked up at her, I was like, hey! Pick me up. This is bullshit. I paid for these tickets, OK? I want to see Billy Eilish, too. Come on."
Jimmy_Yang_2,"See, I’m like first generation. But my parents, they’re like negative 9 generation, because they’re so frickin’ Chinese. Like, it’s really hard for me to watch TV with my dad, because he’s trying to make me explain everything to him. First of all, old Asian people, they don’t watch TV. They judge the TV. This is like, I’m just sitting next to my dad on the couch, and he’s wearing his, like, old Asian man costume, which is just a wife beater and tighty-whiteys. He’s just sitting there, arms folded, judging the TV like–He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that comes after. It’s just like, achoo! Oh! Ay, shit.Oh! I’m like, what the fuck, Dad, just have an orgasm? What was that?And he doesn’t understand what I’m saying half the time. He’s like, oh, there’s an orgasm. OK, the orga– orgasm."
Louis_CK,"I was talking to my friend the other day about Jesus… uh, Christ, and, um… I don’t remember why, but I happened to mention that Jesus was Jewish and my friend said, “He was?” And I said, Yeah. Jesus was Jewish. And he said, “I don’t think so.” And I said, that’s okay, it already all happened. Doesn’t matter where you think. But he’d argued with me. He was like, “Dude, Jesus couldn’t be Jewish. Think about it.” I’m like, “You fucking think about it, you idiot. What d– What was he then? You’re… What, was he Presbyterian? What was he? Catholic? Okay, Jesus was Catholic and he had a gold chain with a cross. And when they nailed him up, he was like, “Oh, that’s why we have those!” “That finally makes sense. I didn’t even know. Oh, fuck, that’s me! I’m the little guy on it!”"
Louis_CK_2,"Dogs are so dumb, it’s fucking tragic. It’s sad how dumb they are. They’re in our lives and they know nothing about what’s happening. You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!” They’re so stupid! Incredibly stupid animals. They don’t even know their own lives, they don’t even — they can’t even handle their own lives mentally. You ever throw a ball for your dog and your dog gets the ball and brings it, and then you throw the ball again, and the dog brings it. And then one of the times you throw the ball, the dog looks at you like, “I didn’t see what happened. I’m sorry, I… I don’t know anything now. Please help.” So you point at the ball, “There it is, right there. It’s right there.” And the dog just looks at your finger ’cause there’s just no way he’s gonna get this concept that there’s an invisible line… …that he can follow with his imagination."
Nate_Bargatze,"So I have a daughter, and my daughter’s name is Harper. So a lot of people ask, “Did you name her after Harper Lee, the author of To Kill a Mockingbird?” And, you know, I’ve never thought about an author a day in my life, so… That never occurred to me. I mean, my middle name is Lee, and it just never crossed my mind.
Uh… I love having a kid. We… I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl. They don’t like… It feels weird. And then, you could be like, “Is your house on fire?” I’ve never seen someone cry this much. It’s over nothing.
She’s on her iPad a lot. You know, that’s the hard part. You got to get these kids off… You don’t want technology all the time. She just sits there on her iPad. She wants to be a YouTuber, which, as a comedian, makes me furious. She watches these kid YouTube videos, and now she makes her own videos. It’s just her sitting there going, “Hey, guys, what’s going on?” “Click the links below, subscribe, leave a comment.” None of this is anywhere but my phone. I got 90 hours of this. It’s not on YouTube. Me and her mom are the only subscribers. She just watches kids playing with toys. Like, that’s what’s crazy. It’s not like a show. I’d be fine if she watched a show. She watches just a kid that’s like, “Hey, you don’t have this toy, I do.” “You want to see me open it?” It’s got five billion views. It looks like we buy her nothing, like, we just show her. “If you wanna watch a kid have fun, but you’ll never have fun in this house!”

"
Nate_Bargatze_2,"We’re doing homework too. Our daughter started bringing it home. Homework’s fun. First and second grade was awesome. Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?” I don’t even know if that’s true, but… She brought home Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it. Uh… It’s just a whole new… I mean, it’s unbelievable. They bring it home, you gotta watch a 40-minute YouTube video on Common Core math. I don’t even understand it. If you know it… If you don’t know Common Core, it’s just a new math. And the goal of Common Core is to use one sheet of paper for every problem. You… You just want to keep breaking the problem down. You put the problem at the top, and it just keeps going. And then what’s even funnier is you see old math in the middle of it. As you break it down, old math gets in there and you’re like, “Oh! Just do that at the top. I don’t even know what we’re doing.” It’s not like old math isn’t working. Old math still… I don’t get incorrect change everywhere, just going, “This stupid old math!”
It’s a long way to get at the same answer. I told my wife, it feels like if you knocked on my front door and I opened it, and you say, “Can I come in?” And I was like, “Do you mind coming in through the back door?” “Does the front door not work?” “No, it works. I use it, a lot of people still use it, but the new way is to go jump the fence and come in the back and meet me at this same spot.”
"
Nate_Bargatze_TK,"My dad is a magician. He’s done that my entire life. He was a clown at the very beginning, just in case you’re like, “How do you get into something like that?” Uh… It goes clown, then magic. There’s two steps. You can take them in either order. I was born, he was a clown. It was never weird to me. I thought everybody’s dad was a clown. My, uh, first memory of my life is I was five years old, and I remember my mom walked me out to the front yard, and my dad pulled up… We had this old red Mazda. He’s dressed as a clown, that doesn’t even faze me. That’s just how he left. How else would he come home? And… The Easter Bunny was in the passenger seat. That’s the first thing that I remember, to my life. If you want to know how you get into comedy, that’s a pretty good nudge. And I remember it didn’t fit. The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal, so his head was bent to the side. And I remember he had his seat belt on, and he’s just like… and I was like… I like to think about all the other people that saw that. Just in the car next to them, just at a red light, you’re like, “I didn’t even know they hung out like that.” Uh…"
Nate_Bargatze_TK_2,"The best wedding I’ve ever been to was my cousin’s wedding. It was a real redneck affair. It was right outside Louisville, Kentucky, where my parents are from. And my cousin’s name is Tuesday, which is a good start. The invitation said, “Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.” People were like, “We gotta be there Monday for this wedding? How long is this wedding? It’s a week?” We get there, I’m wearing a button-down shirt, khaki pants. Nothing crazy. I’m wildly overdressed. I look like I work there. -Uh… Everybody else just has a football or basketball jersey on. My uncle, his daughter’s getting married. He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt. They forgot his shirt, and instead of waiting to go get it, he was like, “Let’s do it without it.” Right? Like, that’s… And he doesn’t have a body that’s like, “That’s cool, man.” You know? He has a body that you’re like, “Put your jacket on backwards. Flip it around.” Yeah. Then you see his back, and you’re like, “Oof. All right, go back to regular way. Yeah, that’s my fault. I didn’t… How’s your back worse than your front?” Uh…"
Russell_Peters,"So my doctor says, hey, what else is wrong with you? I go, what do you mean what else is wrong with me? He goes, look, you’re a 48-year-old Indian man. I’m like, that’s really fucking racist, but since you asked, I have acid reflux. I don’t know. Does anybody else– who else has acid reflux in here? First of all, you’re lying to me right now. Because there is no way you can be Indian and not have fucking acid reflux. It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your esophagus. What? Son, it’s burning your esophagus. Dad, I want to assure you I have no phagus in me. No, no, son, esophagus. I don’t care whose phagus you think this is. There’s no way you don’t have acid reflux. I’m looking at all of you, especially all the pudgy guys. You know exactly who has it. You got it, don’t you, yellow guy? You do, do you. He’s like, I know, I have it, but I don’t want to say because my shirt looks like turmeric,"
Russell_Peters_2,"Identical twins are the only people that should be twins. And I started getting scared when I thought my girlfriend was going to have twins. But I started settling into the idea because I started thinking of names for identical twins. I was like, if I have twin girls– because you’ve got to have fun with the names. If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate. These are my boys, it’s Pete and Repeat. If I had twins with a black girl, this is Tyrone and Tyclone. Identical twins, that’s like bragging rights for you, you know I mean. That’s your way of going, look. Look at how good my balls are. Look, look. Or because you’re Punjabi, look at how good my junk they are. Looks at this.Look at how good my balls are. My balls are so strong, they made one kid and then it made the exact same kid right away. You lift up your balls, sponsored by Xerox. Sponsored by Xerox. I call the left one copy and the right one paste"
